Time,Time,Flow
2019,10/14/2019,40755.0
2019,10/15/2019,61854.0
2019,10/16/2019,20237.0
2019,10/17/2019,78527.0
2019,10/18/2019,28351.0
2019,10/19/2019,115306.0
2019,10/20/2019,4883.0
2019,10/21/2019,15775.0
2019,10/22/2019,82475.0
2019,10/23/2019,12399.0
2019,10/24/2019,43420.0
2019,10/25/2019,40839.0
2019,10/26/2019,41780.0
2019,10/27/2019,58322.0
2019,10/28/2019,112123.0
2020,07/02/2020,73091.0
2020,07/03/2020,52166.0
2020,07/04/2020,69897.0
2020,07/05/2020,125336.0
2020,07/06/2020,75486.0
2020,07/07/2020,35867.0
2020,07/08/2020,104133.0
2020,07/09/2020,18925.0
2020,07/10/2020,66734.0
2020,07/11/2020,64618.0
2020,07/12/2020,78925.0
2020,07/13/2020,81879.0
2020,07/14/2020,72524.0
2020,07/15/2020,23374.0
2020,07/16/2020,52762.0
2020,07/17/2020,40602.0
2020,07/18/2020,60252.0
2020,07/19/2020,37262.0
2020,07/20/2020,19746.0
2020,07/21/2020,36006.0
2020,07/22/2020,31169.0
2020,07/23/2020,38248.0
2020,07/24/2020,22840.0
2020,07/25/2020,30019.0
2020,07/26/2020,16357.0
2020,07/27/2020,46129.0
2020,07/28/2020,61623.0
2020,07/29/2020,70272.0
2020,07/30/2020,48294.0
2020,07/31/2020,28556.0
2020,08/01/2020,32078.0
2020,08/02/2020,59197.0
2020,08/03/2020,50274.0
2020,08/04/2020,88601.0
2020,08/05/2020,62517.0
2020,08/06/2020,69107.0
2020,08/07/2020,115521.0
2020,08/08/2020,160229.0
2020,08/09/2020,117038.0
2020,08/10/2020,8.0
2020,08/11/2020,6668.0
2020,08/12/2020,12519.0
2020,08/13/2020,5960.0
2020,08/14/2020,16.0
2020,08/15/2020,0.0
2020,08/16/2020,1718.0
2020,08/17/2020,0.0
2020,08/18/2020,33927.0
2020,08/19/2020,54341.0
2020,08/20/2020,45399.0
2020,08/21/2020,27229.0
2020,08/22/2020,29986.0
2020,08/23/2020,23115.0
2020,08/24/2020,18016.0
2020,08/25/2020,15957.0
2020,08/26/2020,74595.0
2020,08/27/2020,92035.0
2020,08/28/2020,36839.0
2020,08/29/2020,45618.0
2020,08/30/2020,68187.0
2020,08/31/2020,18674.0
2020,09/01/2020,45779.0
2020,09/02/2020,48646.0
2020,09/03/2020,61240.0
2020,09/04/2020,72246.0
2020,09/05/2020,47283.0
2020,09/06/2020,49639.0
2020,09/07/2020,0.0
2020,09/08/2020,49149.0
2020,09/09/2020,63714.0
2020,09/10/2020,81714.0
2020,09/11/2020,53968.0
2020,09/12/2020,84916.0
2020,09/13/2020,28532.0
2020,09/14/2020,3353.0
2020,09/15/2020,76173.0
2020,09/16/2020,66543.0
2020,09/17/2020,76129.0
2020,09/18/2020,47545.0
2020,09/19/2020,113843.0
2020,09/20/2020,52128.0
2020,09/21/2020,95861.0
2020,09/22/2020,94392.0
2020,09/23/2020,17167.0
2020,09/24/2020,74543.0
2020,09/25/2020,70386.0
2020,09/26/2020,68612.0
2020,09/27/2020,78786.0
2020,09/28/2020,27501.0
2020,09/29/2020,37593.0
2020,09/30/2020,109989.0
2020,10/01/2020,39667.0
2020,10/02/2020,80026.0
2020,10/03/2020,59277.0
2020,10/04/2020,113835.0
2020,10/05/2020,75141.0
2020,10/06/2020,59120.0
2020,10/07/2020,74825.0
2020,10/08/2020,64604.0
2020,10/09/2020,40326.0
2020,10/10/2020,66892.0
2020,10/11/2020,75480.0
2020,10/12/2020,26992.0
2020,10/13/2020,37193.0
2020,10/14/2020,45946.0
2020,10/15/2020,120510.0
2020,10/16/2020,23944.0
2020,10/17/2020,5729.0
2020,10/18/2020,7499.0
2020,10/19/2020,0.0
2020,10/20/2020,943.0
2020,10/21/2020,63008.0
2020,10/22/2020,4.0
2020,10/27/2020,53163.0
2020,10/28/2020,10145.0
2020,10/29/2020,0.0
2020,10/30/2020,6702.0
2020,10/31/2020,0.0
